Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
XO|KT06|57.6517|-154.0041|46.0|Harverster Island, AK|2018-05-20T00:00:00|2019-12-31T23:59:59
XO|KT07|57.5375|-153.9814|38.0|Larsen Bay, AK|2018-05-22T00:00:00|2019-12-31T23:59:59
XO|KT08|57.443|-153.8149|41.0|Amook, AK|2018-05-23T00:00:00|2019-12-31T23:59:59
XO|KT09|57.348|-153.7945|47.0|Uyak Bay, AK|2018-05-20T00:00:00|2019-12-31T23:59:59
XO|KT10|57.295|-153.66|43.0|South Uyak Bay,AK|2018-05-21T00:00:00|2019-09-29T23:59:59
XO|LA21|54.3691|-155.0735|-5113.0|LDEO OBS Deep APG/Hydro|2018-05-22T00:00:00|2019-08-26T23:59:59
XO|LA22|55.2576|-155.153|-2130.0|LDEO OBS Deep APG/Hydro|2018-05-23T00:00:00|2019-08-27T23:59:59
XO|LA23|54.9163|-155.2376|-3977.0|LDEO OBS Deep APG/Hydro|2018-05-23T00:00:00|2019-08-26T23:59:59
XO|LA25|54.8901|-155.9408|-2622.0|LDEO OBS Deep APG/Hydro|2018-05-14T00:00:00|2019-08-20T23:59:59
XO|LA26|54.5129|-156.2561|-5103.0|LDEO OBS Deep APG/Hydro|2018-05-22T00:00:00|2019-08-20T23:59:59
XO|LA28|54.8983|-156.603|-1852.0|LDEO OBS Deep APG/Hydro|2018-05-14T00:00:00|2019-08-20T23:59:59
XO|LA29|54.2918|-157.3705|-4408.0|LDEO OBS Deep APG/Hydro|2018-05-21T00:00:00|2019-08-26T23:59:59
XO|LA30|54.6727|-157.4203|-1564.0|LDEO OBS Deep APG/Hydro|2018-05-14T00:00:00|2019-08-21T23:59:59
XO|LA32|54.4982|-157.8522|-1595.0|LDEO OBS Deep APG/Hydro|2018-05-15T00:00:00|2019-08-21T23:59:59
XO|LA33|54.1528|-158.1143|-4478.0|LDEO OBS Deep APG/Hydro|2018-05-21T00:00:00|2019-08-25T23:59:59
XO|LA34|54.0449|-158.5881|-4612.0|LDEO OBS Deep APG/Hydro|2018-05-20T00:00:00|2019-08-25T23:59:59
XO|LA39|56.8827|-151.0011|-1628.0|LDEO OBS Deep APG/Hydro|2018-05-27T00:00:00|2019-08-11T23:59:59
XO|LD35|54.2495|-158.872|-1993.0|LDEO OBS Deep DPG|2018-05-16T00:00:00|2019-08-25T23:59:59
XO|LD36|55.2524|-155.7525|-935.0|LDEO OBS Deep DPG|2018-05-14T00:00:00|2019-08-20T23:59:59
XO|LD37|55.6764|-151.1005|-4826.0|LDEO OBS Deep DPG|2018-05-25T00:00:00|2019-08-28T23:59:59
XO|LD38|55.1649|-151.6756|-4043.0|LDEO OBS Deep DPG|2018-05-25T00:00:00|2019-08-28T23:59:59
XO|LD40|56.3037|-152.4102|-1055.0|LDEO OBS Deep DPG|2018-05-25T00:00:00|2019-08-13T23:59:59
XO|LD41|54.5219|-153.4074|-4284.0|LDEO OBS Deep DPG|2018-05-23T00:00:00|2019-08-27T23:59:59
XO|LD44|53.8302|-159.7736|-4675.0|LDEO OBS Deep DPG|2018-05-20T00:00:00|2019-08-24T23:59:59
XO|LD45|54.1025|-159.8829|-2019.0|LDEO OBS Deep DPG|2018-05-20T00:00:00|2019-08-24T23:59:59
XO|LT01|56.7756|-152.5228|-156.0|LDEO OBS TRM|2018-05-24T00:00:00|2019-08-14T23:59:59
XO|LT02|56.6932|-153.2611|-152.0|LDEO OBS TRM|2018-05-24T00:00:00|2019-08-28T23:59:59
XO|LT03|57.8668|-154.1665|-202.0|LDEO OBS TRM|2018-05-10T00:00:00|2019-08-15T23:59:59
XO|LT04|56.1118|-154.4446|-157.0|LDEO OBS TRM|2018-05-24T00:00:00|2019-08-14T23:59:59
XO|LT05|56.823|-155.3469|-236.0|LDEO OBS TRM|2018-05-11T00:00:00|2019-08-15T23:59:59
XO|LT06|56.2167|-155.9979|-225.0|LDEO OBS TRM|2018-05-12T00:00:00|2019-08-17T23:59:59
XO|LT07|56.6712|-156.1199|-262.0|LDEO OBS TRM|2018-05-11T00:00:00|2019-08-15T23:59:59
XO|LT08|55.5883|-156.5975|-246.0|LDEO OBS TRM|2018-05-13T00:00:00|2019-08-28T23:59:59
XO|LT09|55.1215|-157.1389|-151.0|LDEO OBS TRM|2018-05-14T00:00:00|2019-08-19T23:59:59
XO|LT10|55.6251|-157.3251|-98.0|LDEO OBS TRM|2018-05-13T00:00:00|2019-08-18T23:59:59
XO|LT11|56.1202|-157.3355|-162.0|LDEO OBS TRM|2018-05-12T00:00:00|2019-08-28T23:59:59
XO|LT12|55.207|-157.778|-83.0|LDEO OBS TRM|2018-05-13T00:00:00|2019-08-19T23:59:59
XO|LT13|54.8439|-158.3466|-203.0|LDEO OBS TRM|2018-05-15T00:00:00|2019-08-22T23:59:59
XO|LT14|55.6998|-158.0302|-125.0|LDEO OBS TRM|2018-05-12T00:00:00|2019-08-18T23:59:59
XO|LT15|55.2002|-158.3598|-167.0|LDEO OBS TRM|2018-05-12T00:00:00|2019-08-21T23:59:59
XO|LT16|55.4916|-158.6013|-125.0|LDEO OBS TRM|2018-05-12T00:00:00|2019-08-22T23:59:59
XO|LT17|54.5677|-160.2016|-114.0|LDEO OBS TRM|2018-05-16T00:00:00|2019-08-23T23:59:59
XO|LT18|54.74|-160.5814|-115.0|LDEO OBS TRM|2018-05-17T00:00:00|2019-08-23T23:59:59
XO|LT20|54.8002|-161.3746|-150.0|LDEO OBS TRM|2018-05-16T00:00:00|2019-08-22T23:59:59
XO|WD46|55.521393|-149.703732|-4349.0|WHOI_OBS_ID: S73|2018-07-12T00:00:00|2019-09-11T23:59:59
XO|WD47|54.951352|-150.444792|-3999.0|WHOI_OBS_ID: S71|2018-07-13T00:00:00|2019-09-11T23:59:59
XO|WD48|56.627365|-151.731343|-1324.0|WHOI_OBS_ID: S69|2018-07-21T00:00:00|2019-09-04T23:59:59
XO|WD49|54.399083|-151.89947|-4091.0|WHOI_OBS_ID: S38|2018-07-13T00:00:00|2019-09-11T23:59:59
XO|WD50|55.449527|-152.391763|-4986.6|WHOI_OBS_ID: S05|2018-07-21T00:00:00|2019-08-29T23:59:59
XO|WD51|55.905087|-152.771768|-4361.0|WHOI_OBS_ID: S70|2018-07-20T00:00:00|2019-09-01T23:59:59
XO|WD52|54.046622|-159.346215|-2564.0|WHOI_OBS_ID: S61|2018-07-18T00:00:00|2019-09-03T23:59:59
XO|WD53|53.779448|-153.422908|-4646.0|WHOI_OBS_ID: S59|2018-07-13T00:00:00|2019-09-10T23:59:59
XO|WD54|56.331433|-149.066665|-4520.0|WHOI_OBS_ID: S30|2018-07-22T00:00:00|2019-09-11T23:59:59
XO|WD55|55.761625|-153.662817|-1284.0|WHOI_OBS_ID: S65|2018-07-20T00:00:00|2019-09-01T23:59:59
XO|WD56|55.322267|-154.047078|-4060.0|WHOI_OBS_ID: S48|2018-07-19T00:00:00|2019-08-30T23:59:59
XO|WD57|54.736387|-154.434305|-5053.0|WHOI_OBS_ID: S19|2018-07-19T00:00:00|2019-08-31T23:59:59
XO|WD58|53.906227|-155.035345|-4493.0|WHOI_OBS_ID: S01|2018-07-14T00:00:00|2019-09-09T23:59:59
XO|WD59|53.383713|-155.799387|-4550.0|WHOI_OBS_ID: S23|2018-07-14T00:00:00|2019-09-10T23:59:59
XO|WD60|52.644867|-156.579823|-4519.0|WHOI_OBS_ID: S37|2018-07-14T00:00:00|2019-09-07T23:59:59
XO|WD61|54.647613|-156.868282|-2067.0|WHOI_OBS_ID: S66|2018-07-19T00:00:00|2019-09-01T23:59:59
XO|WD62|53.361962|-157.331882|-4626.0|WHOI_OBS_ID: S27|2018-07-15T00:00:00|2019-09-08T23:59:59
XO|WD63|52.590072|-158.093575|-4656.0|WHOI_OBS_ID: S45|2018-07-15T00:00:00|2019-09-08T23:59:59
